arch,segment,name,offset_hex,size_bytes,has_warnings,unique_calls,has_globals,score,preview
PPC,PPC_0009,FUN_1010c5f0,0x1010c5f0,444,False,7,False,479,"void FUN_1010c5f0(int *param_1,undefined4 param_2,undefined4 param_3,undefined1 "
PPC,PPC_0008,FUN_1010598c,0x1010598c,340,True,4,True,480,undefined4 * FUN_1010598c(undefined4 *param_1)
PPC,PPC_0008,FUN_100fd434,0x100fd434,440,False,8,False,480,"int FUN_100fd434(int param_1,char param_2,undefined4 param_3,undefined4 *param_4"
PPC,PPC_0008,FUN_101080b8,0x101080b8,416,False,13,False,481,"void FUN_101080b8(int *param_1,undefined4 param_2,undefined4 param_3)"
PPC,PPC_0008,FUN_10108258,0x10108258,416,False,13,False,481,"void FUN_10108258(int *param_1,undefined4 param_2,undefined4 param_3)"
PPC,PPC_0008,FUN_100ffbdc,0x100ffbdc,436,False,9,False,481,void FUN_100ffbdc(int *param_1)
PPC,PPC_0002,FUN_100516c0,0x100516c0,312,True,14,False,482,void FUN_100516c0(void)
PPC,PPC_0002,FUN_10054994,0x10054994,352,True,6,False,482,void FUN_10054994(void)
PPC,PPC_0002,FUN_10042bb4,0x10042bb4,372,True,2,False,482,"void FUN_10042bb4(short param_1,short param_2)"
PPC,PPC_0007,FUN_100ed6d8,0x100ed6d8,472,False,2,False,482,uint FUN_100ed6d8(int param_1)
PPC,PPC_0009,FUN_10111ba8,0x10111ba8,368,True,3,False,483,"int * FUN_10111ba8(int *param_1,undefined4 param_2,int *param_3,undefined4 param"
PPC,PPC_0006,FUN_100cb658,0x100cb658,428,False,11,False,483,"void FUN_100cb658(int param_1,undefined4 param_2)"
PPC,PPC_0009,FUN_1010f054,0x1010f054,344,True,4,True,484,undefined4 * FUN_1010f054(undefined4 *param_1)
PPC,PPC_0009,FUN_10110a68,0x10110a68,464,False,4,False,484,"void FUN_10110a68(int *param_1,char param_2,char param_3,char param_4)"
PPC,PPC_0006,FUN_100d1330,0x100d1330,320,True,9,True,485,void FUN_100d1330(int *param_1)
PPC,PPC_0001,FUN_10007e10,0x10007e10,360,True,1,True,485,"int FUN_10007e10(short param_1,short param_2,short param_3)"
PPC,PPC_0007,FUN_100df87c,0x100df87c,360,True,5,False,485,"void FUN_100df87c(int *param_1,undefined1 param_2)"
PPC,PPC_0002,FUN_10046d7c,0x10046d7c,352,True,7,False,487,undefined4 FUN_10046d7c(void)
PPC,PPC_0007,FUN_100f1bbc,0x100f1bbc,368,True,4,False,488,"void FUN_100f1bbc(int *param_1,int param_2,short *param_3,ushort *param_4)"
PPC,PPC_0001,FUN_10003d5c,0x10003d5c,364,True,1,True,489,"int FUN_10003d5c(short param_1,short param_2)"
PPC,PPC_0003,FUN_10080600,0x10080600,444,False,5,True,489,"void FUN_10080600(undefined4 param_1,undefined4 param_2,int param_3)"
PPC,PPC_0001,FUN_1003206c,0x1003206c,320,True,10,True,490,"void FUN_1003206c(char param_1,short param_2,undefined2 param_3,undefined2 param"
PPC,PPC_0005,FUN_100bb500,0x100bb500,460,False,6,False,490,"void FUN_100bb500(int *param_1,int param_2)"
PPC,PPC_0002,FUN_1003a5fc,0x1003a5fc,356,True,7,False,491,void FUN_1003a5fc(void)
PPC,PPC_0002,FUN_1004702c,0x1004702c,356,True,7,False,491,undefined4 FUN_1004702c(void)
PPC,PPC_0002,FUN_10047190,0x10047190,356,True,7,False,491,undefined4 FUN_10047190(void)
PPC,PPC_0009,FUN_1010dbd0,0x1010dbd0,456,False,7,False,491,"void FUN_1010dbd0(int *param_1,undefined4 param_2,undefined4 param_3,undefined4 "
PPC,PPC_0004,FUN_1009fad4,0x1009fad4,388,True,1,False,493,"undefined4 FUN_1009fad4(short param_1,short param_2)"
PPC,PPC_0007,FUN_100f1430,0x100f1430,324,True,10,True,494,void FUN_100f1430(short param_1)
PPC,PPC_0003,FUN_10077af4,0x10077af4,344,True,10,False,494,"void FUN_10077af4(int *param_1,undefined4 param_2,undefined4 param_3)"
PPC,PPC_0003,FUN_10078604,0x10078604,344,True,10,False,494,"void FUN_10078604(int *param_1,undefined4 param_2,undefined4 param_3)"
PPC,PPC_0004,FUN_100ab9e4,0x100ab9e4,384,True,2,False,494,void FUN_100ab9e4(void)
PPC,PPC_0004,FUN_100abb68,0x100abb68,384,True,2,False,494,void FUN_100abb68(void)
PPC,PPC_0009,FUN_1010b65c,0x1010b65c,444,False,10,False,494,"void FUN_1010b65c(int *param_1,undefined4 param_2,undefined4 param_3)"
PPC,PPC_0004,FUN_100a2760,0x100a2760,380,True,3,False,495,void FUN_100a2760(void)
PPC,PPC_0004,FUN_100a28dc,0x100a28dc,380,True,3,False,495,void FUN_100a28dc(void)
PPC,PPC_0004,FUN_100a09a8,0x100a09a8,352,True,5,True,497,"void FUN_100a09a8(int param_1,undefined4 param_2,undefined2 param_3)"
PPC,PPC_0006,FUN_100ccb1c,0x100ccb1c,348,True,10,False,498,"void FUN_100ccb1c(int param_1,int *param_2)"
PPC,PPC_0003,FUN_10071eb8,0x10071eb8,428,False,14,False,498,"void FUN_10071eb8(int *param_1,undefined4 param_2)"
PPC,PPC_0007,FUN_100e424c,0x100e424c,344,True,11,False,499,"void FUN_100e424c(int *param_1,undefined4 param_2,char param_3,char param_4)"
PPC,PPC_0001,FUN_10008f70,0x10008f70,384,True,3,False,499,void FUN_10008f70(void)
PPC,PPC_0001,FUN_10015c48,0x10015c48,384,True,3,False,499,undefined4 FUN_10015c48(short param_1)
PPC,PPC_0001,FUN_10018f00,0x10018f00,384,True,3,False,499,"void FUN_10018f00(short param_1,short param_2,short param_3,undefined2 *param_4,"
PPC,PPC_0004,FUN_100a03b0,0x100a03b0,360,True,4,True,500,"void FUN_100a03b0(int param_1,undefined4 param_2,int param_3,int *param_4,undefi"
PPC,PPC_0002,FUN_1006bc30,0x1006bc30,460,False,8,False,500,void FUN_1006bc30(int *param_1)
PPC,PPC_0005,FUN_100b648c,0x100b648c,376,True,5,False,501,void FUN_100b648c(void)
PPC,PPC_0001,FUN_1000ea7c,0x1000ea7c,392,True,2,False,502,void FUN_1000ea7c(short param_1)
PPC,PPC_0001,FUN_1000c4c4,0x1000c4c4,388,True,3,False,503,"void FUN_1000c4c4(short param_1,short param_2,undefined4 *param_3)"
PPC,PPC_0005,FUN_100bcfac,0x100bcfac,484,False,4,False,504,"bool FUN_100bcfac(int *param_1,undefined1 param_2)"
PPC,PPC_0001,FUN_1000d384,0x1000d384,360,True,5,True,505,undefined1 * FUN_1000d384(void)
